energy	PL
3.4505	1.41E-07
3.4504	1.41E-07
3.4503	1.42E-07
3.4502	1.42E-07
3.4501	1.42E-07
3.45	1.42E-07
3.4499	1.42E-07
3.4498	1.42E-07
3.4497	1.42E-07
3.4496	1.42E-07
3.4495	1.42E-07
3.4494	1.42E-07
3.4493	1.42E-07
3.4492	1.43E-07
3.4491	1.43E-07
3.449	1.43E-07
3.4489	1.43E-07
3.4488	1.43E-07
3.4487	1.43E-07
3.4486	1.43E-07
3.4485	1.43E-07
3.4484	1.43E-07
3.4483	1.43E-07
3.4482	1.43E-07
3.4481	1.44E-07
3.448	1.44E-07
3.4479	1.44E-07
3.4478	1.44E-07
3.4477	1.44E-07
3.4476	1.44E-07
3.4475	1.44E-07
3.4474	1.44E-07
3.4473	1.44E-07
3.4472	1.44E-07
3.4471	1.44E-07
3.447	1.45E-07
3.4469	1.45E-07
3.4468	1.45E-07
3.4467	1.45E-07
3.4466	1.45E-07
3.4465	1.45E-07
3.4464	1.45E-07
3.4463	1.45E-07
3.4462	1.45E-07
3.4461	1.45E-07
3.446	1.45E-07
3.4459	1.46E-07
3.4458	1.46E-07
3.4457	1.46E-07
3.4456	1.46E-07
3.4455	1.46E-07
3.4454	1.46E-07
3.4453	1.46E-07
3.4452	1.46E-07
3.4451	1.46E-07
3.445	1.46E-07
3.4449	1.47E-07
3.4448	1.47E-07
3.4447	1.47E-07
3.4446	1.47E-07
3.4445	1.47E-07
3.4444	1.47E-07
3.4443	1.47E-07
3.4442	1.47E-07
3.4441	1.47E-07
3.444	1.47E-07
3.4439	1.47E-07
3.4438	1.48E-07
3.4437	1.48E-07
3.4436	1.48E-07
3.4435	1.48E-07
3.4434	1.48E-07
3.4433	1.48E-07
3.4432	1.48E-07
3.4431	1.48E-07
3.443	1.48E-07
3.4429	1.48E-07
3.4428	1.48E-07
3.4427	1.49E-07
3.4426	1.49E-07
3.4425	1.49E-07
3.4424	1.49E-07
3.4423	1.49E-07
3.4422	1.49E-07
3.4421	1.49E-07
3.442	1.49E-07
3.4419	1.49E-07
3.4418	1.49E-07
3.4417	1.50E-07
3.4416	1.50E-07
